sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
digestate_pe_138,1000,10.0,1.0,1000,5.202,74.857,7.854,12.087,60.74952,9.92295,10.665,1.23772,0.13189,0.00196,1.843,0.204,30.4802,75.35353535,mix
digestate_pe_142,1200,10.0,1.0,1000,5.1,75.35,7.7,11.85,61.224,10.0275,10.45,1.214,0.1305,0.002,1.85,0.2,30.795,69.24836601,mix
digestate_pe_151,1200,10.0,1.0,1000,5.1,75.35,7.7,11.85,61.224,10.0275,10.45,1.214,0.1305,0.002,1.85,0.2,30.795,80.06198347,mix
digestate_pe_154,1200,10.0,1.0,1000,5.202,74.857,7.854,12.087,60.74952,9.92295,10.665,1.23772,0.13189,0.00196,1.843,0.204,30.4802,70.0136612,mix
digestate_pe_155,1200,10.0,1.0,1000,5.202,74.857,7.854,12.087,60.74952,9.92295,10.665,1.23772,0.13189,0.00196,1.843,0.204,30.4802,62.27242077,mix
digestate_pe_156,1000,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.19229446,mix
digestate_pe_157,1000,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.97212544,mix
digestate_pe_158,1000,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,66.00899965,mix
digestate_pe_159,1000,2.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,64.46337308,mix
digestate_pe_160,1000,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,65.80869565,mix
digestate_pe_161,1000,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.45829112,mix
digestate_pe_162,1000,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,64.97025777,mix
digestate_pe_163,1000,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,66.0685155,mix
digestate_pe_164,1000,1.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.0268835,mix
digestate_pe_166,1000,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,59.39103661,mix
digestate_pe_168,1000,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,63.73779637,mix
digestate_pe_169,1000,1.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,61.66035136,mix
digestate_pe_175,1000,1.0,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,46.65079905,mix
digestate_pe_170,1000,0.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,55.42582418,mix
digestate_pe_171,1000,0.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,48.44505874,mix
digestate_pe_172,1000,0.5,1.0,1000,7.752,62.532,11.704,18.012,48.88752,7.3092,16.04,1.83072,0.16664,0.00096,1.668,0.304,22.6102,53.51733423,mix
digestate_pe_173,1000,0.5,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,48.03821221,mix
digestate_pe_391,800,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,66.08579088,mix
digestate_pe_392,800,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,62.77966102,mix
digestate_pe_393,800,5.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,64.21832884,mix
digestate_pe_394,800,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,48.1042654,mix
digestate_pe_395,800,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,44.92850017,mix
digestate_pe_397,800,2.0,1.0,1000,7.65,63.025,11.55,17.775,49.362,7.41375,15.825,1.807,0.16525,0.001,1.675,0.3,22.925,40.61210454,mix
