sample,temperature,residence_time,pressure,heat_rate,wc,vm,fc,ac,c,h,o,n,s,cl,hc,oc,lhv,devol_yield,Category
gm_15,600,1.0,0.5,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,37.99406975,plastic
gm_16,600,1.0,1.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,41.73200024,plastic
gm_17,600,1.0,1.5,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,42.34754723,plastic
gm_18,600,1.0,2.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,51.51979271,plastic
gm_19,600,1.0,5.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,60.63222451,plastic
gm_20,600,1.0,10.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,61.86035892,plastic
gm_23,800,1.0,0.5,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,44.85749013,plastic
gm_24,800,1.0,1.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,54.78526569,plastic
gm_25,800,1.0,1.5,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,57.91015551,plastic
gm_26,800,1.0,2.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,62.39540043,plastic
gm_27,800,1.0,5.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,63.96171248,plastic
gm_28,800,1.0,10.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,70.31100418,plastic
gm_31,1000,1.0,0.5,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,39.88465488,plastic
gm_32,1000,1.0,1.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,52.92686872,plastic
gm_33,1000,1.0,1.5,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,54.60578754,plastic
gm_34,1000,1.0,2.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,58.81922327,plastic
gm_35,1000,1.0,5.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,69.07309688,plastic
gm_36,1000,1.0,10.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,69.26009605,plastic
gm_39,1000,1.0,10.0,10,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,66.58318202,plastic
gm_40,1000,1.0,10.0,50,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,68.83808503,plastic
gm_41,1000,1.0,10.0,100,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,68.63405148,plastic
gm_42,1000,1.0,10.0,500,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,69.51363483,plastic
gm_43,1000,1.0,10.0,1000,2.6,58.9,27.6,10.9,82.3,7.0,7.0,1.7,2.5,0.1,1.0,0.0,35.8,69.26009605,plastic
